Hersteller,Modell,Bauweise,Motorisierung,Leistung,Herkunftsland,Markt,Besonderheiten
Direct Fly,Alto NG,Ganzmetall-Tiefdecker,Rotax 912 ULS / EP915ECi,100 PS,Tschechien,Europa,"Neue Generation seit 2022, 600 kg, 250 Stück verkauft, ideal für Schulen"
ATEC,321 Faeta NG,Komposit-Tiefdecker,Rotax 912 iS / ULS / 914 Turbo,100-115 PS,Tschechien,Europa,"Gute Langsamflugcharakteristiken, Überziehgeschwindigkeit 56 km/h"
Junkers Aircraft,A50 Junior,Ganzmetall gewellte Konstruktion,Rotax 912 iS,100 PS,Deutschland,Europa,Historisches Design mit moderner Technik
Junkers Aircraft,A50 Heritage,Ganzmetall gewellte Konstruktion,Verner-Sternmotor 7M,124 PS,Deutschland,Europa,"Mit Sternmotor, klassisches Design"
Junkers Aircraft,A60,Ganzmetall gewellte Konstruktion,Rotax 912 iS / EP916ECi,100-130 PS,Deutschland,Europa,Moderne Version der Junkers Tradition
Kitplanes for Africa,Explorer UL 600,Holz/Metall-Hybrid (Bausatz),Rotax 912 ULS / Turbo / Jabiru,100-135 PS,Südafrika,Europa/International,"STOL-Eigenschaften, trailerbar, für raue Bedingungen"
Kitplanes for Africa,Safari,Holz/Metall-Hybrid (Bausatz),Rotax 912 ULS / Turbo,100-120 PS,Südafrika,Europa/International,STOL-Spezialist mit Bausatz-Option
Smartaero,Belmont DW200,Komposit,Rotax 912 iS,100 PS,Lettland,Europa,"Neues Modell aus Europa, 3 Neuzulassungen"
TL Ultralight,TL 3000 Sirius,Komposit,Rotax 912 ULS,100 PS,Tschechien,Europa,Beliebtes Allroundmodell
Zlín Aviation,Savage,Metallhochdecker,Rotax 912,80-100 PS,Tschechien,Europa,"Für Abenteuerflüge konzipiert, 3 Neuzulassungen"
SFS Leichtflugzeugbau,Vagabund,Rohr-Tuch-Konstruktion,Rotax 912 ULS,100 PS,Deutschland,Deutschland,Speziell für Schulungen konzipiert
F.K. Lightplanes,FK9,Komposit-Tiefdecker,Rotax 912 ULS / iS,100 PS,Österreich,Europa,6 Neuzulassungen
F.K. Lightplanes,FK14,Komposit-Tiefdecker,Rotax 912 ULS / iS,100 PS,Österreich,Europa,3 Neuzulassungen
Aeroprakt,A32,Ganzmetall,Rotax 912 ULS,100 PS,Ukraine,Europa,4 Neuzulassungen
Aeroprakt,A22 Junior,Ganzmetall,Rotax 912 ULS,100 PS,Ukraine,Europa,Robustes Modell
Roland Aircraft,G70,Ganzmetall,Rotax 912,80-100 PS,Deutschland,Europa,3 Neuzulassungen
Porto Aviation,Risen,Komposit,Rotax 912,80-100 PS,Portugal,Europa,2 Neuzulassungen
Spacek,SD-2 Sport,Komposit,Rotax 912,80-100 PS,Tschechien,Europa,2 Neuzulassungen
Leichtflugzeuge Huber,Superstol,Stahl-Rohr/Tuch,Rotax 912,80-100 PS,Österreich,Europa,STOL-Spezialist
AutoGyro,Cavalon,Gyrokopter/Tragschrauber,Rotax 914 UL / 915 iS / 916 iS,115-160 PS,Deutschland,Europa,"Beliebter Rundflug-Gyrokopter, >500 im Einsatz, GMC 507 Autopilot"
Pipistrel,Velis Electro,Elektroflugzeug,E-811-268MVLC Elektromotor,57.6 kW,Slowenien,Europa,"Erstes elektrisches UL mit EASA-Zulassung Juni 2020, ~1h Flugzeit"
